season,week,home_team,away_team,bet_spread,ats_outcome,bet_total,ou_outcome,edge_spread,edge_total
2024,1,Georgia Tech,Florida State,True,1.0,True,1.0,-11.855936068396664,-4.100385564542826
2024,1,New Mexico,Montana State,True,1.0,True,0.0,-4.087344723687969,-1.6922814429313746
2024,1,Nevada,SMU,True,1.0,True,1.0,-20.58734472368797,-4.192281442931375
2024,1,Hawai'i,Delaware State,True,1.0,True,1.0,44.41265527631203,-5.192281442931375
2024,1,Rutgers,Howard,False,,False,,,
2024,1,UL Monroe,Jackson State,False,,False,,,
2024,1,UCF,New Hampshire,False,,False,,,
2024,1,Wake Forest,North Carolina A&T,False,,False,,,
2024,1,NC State,Western Carolina,False,,False,,,
2024,1,Bowling Green,Fordham,False,,False,,,
2024,1,Buffalo,Lafayette,False,,False,,,
2024,1,Central Michigan,Central Connecticut,False,,False,,,
2024,1,Toledo,Duquesne,False,,False,,,
2024,1,Arkansas,Arkansas-Pine Bluff,False,,False,,,
2024,1,Colorado,North Dakota State,True,1.0,True,1.0,15.41265527631203,-6.692281442931375
2024,1,Kansas,Lindenwood,False,,False,,,
2024,1,Missouri,Murray State,False,,False,,,
2024,1,Jacksonville State,Coastal Carolina,True,0.0,True,0.0,9.91265527631203,-4.192281442931375
2024,1,UAB,Alcorn State,False,,False,,,
2024,1,Tulane,SE Louisiana,False,,False,,,
2024,1,Tulsa,Northwestern State,False,,False,,,
2024,1,Minnesota,North Carolina,True,1.0,True,0.0,8.91265527631203,1.8077185570686254
2024,1,Illinois,Eastern Illinois,False,,False,,,
2024,1,Utah,Southern Utah,False,,False,,,
2024,1,San José State,Sacramento State,False,,False,,,
2024,1,Army,Lehigh,False,,False,,,
2024,1,Oklahoma,Temple,True,1.0,True,1.0,48.91265527631203,-7.192281442931375
2024,1,Michigan State,Florida Atlantic,True,1.0,True,0.0,17.91265527631203,5.307718557068625
2024,1,Duke,Elon,False,,False,,,
2024,1,Wisconsin,Western Michigan,True,1.0,True,1.0,30.41265527631203,-4.192281442931375
2024,1,Stanford,TCU,True,1.0,True,0.5,-2.087344723687969,-8.692281442931375
2024,1,Utah State,Robert Morris,False,,False,,,
2024,1,West Virginia,Penn State,True,1.0,True,0.0,-3.587344723687969,0.8077185570686254
2024,1,Vanderbilt,Virginia Tech,True,1.0,True,0.0,-7.087344723687969,-1.1922814429313746
2024,1,Navy,Bucknell,False,,False,,,
2024,1,Georgia,Clemson,True,1.0,True,0.0,13.644063931603336,2.399614435457174
2024,1,Maryland,UConn,True,1.0,True,1.0,26.91265527631203,4.807718557068625
2024,1,Purdue,Indiana State,False,,False,,,
2024,1,Louisville,Austin Peay,False,,False,,,
2024,1,Iowa,Illinois State,False,,False,,,
2024,1,Pittsburgh,Kent State,True,1.0,True,0.0,29.91265527631203,-1.1922814429313746
2024,1,Tennessee,Chattanooga,False,,False,,,
2024,1,Oklahoma State,South Dakota State,True,1.0,True,0.0,15.91265527631203,-1.6922814429313746
2024,1,Cincinnati,Towson,False,,False,,,
2024,1,Washington State,Portland State,False,,False,,,
2024,1,Iowa State,North Dakota,False,,False,,,
2024,1,App State,East Tennessee State,False,,False,,,
2024,1,UTSA,Kennesaw State,True,1.0,True,0.0,30.41265527631203,2.8077185570686254
2024,1,Texas,Colorado State,True,1.0,True,1.0,41.91265527631203,-6.692281442931375
2024,1,Ohio State,Akron,True,1.0,True,1.0,56.91265527631203,-6.192281442931375
2024,1,Syracuse,Ohio,True,1.0,True,1.0,23.91265527631203,4.807718557068625
2024,1,Air Force,Merrimack,False,,False,,,
2024,1,Florida,Miami,True,0.0,True,0.0,3.912655276312031,-2.1922814429313746
2024,1,Northwestern,Miami (OH),True,1.0,True,0.0,3.644063931603335,8.399614435457174
2024,1,Northern Illinois,Western Illinois,False,,False,,,
2024,1,Indiana,Florida International,True,1.0,True,0.0,26.91265527631203,1.8077185570686254
2024,1,Nebraska,UTEP,True,1.0,True,0.0,33.91265527631203,3.3077185570686254
2024,1,Massachusetts,Eastern Michigan,True,0.0,True,0.0,8.91265527631203,3.3077185570686254
2024,1,Georgia Southern,Boise State,True,1.0,True,0.0,-5.587344723687969,-4.692281442931375
2024,1,South Carolina,Old Dominion,True,1.0,True,1.0,26.41265527631203,-2.1922814429313746
2024,1,South Alabama,North Texas,True,0.0,True,0.0,12.41265527631203,-12.692281442931375
2024,1,California,UC Davis,False,,False,,,
2024,1,Marshall,Stony Brook,False,,False,,,
2024,1,Liberty,Campbell,False,,False,,,
2024,1,Virginia,Richmond,False,,False,,,
2024,1,Mississippi State,Eastern Kentucky,False,,False,,,
2024,1,East Carolina,Norfolk State,False,,False,,,
2024,1,Oregon State,Idaho State,False,,False,,,
2024,1,Rice,Sam Houston,True,0.0,True,0.0,16.91265527631203,3.3077185570686254
2024,1,Troy,Nevada,True,1.0,True,1.0,24.09917957070617,5.307718557068625
2024,1,Kansas State,UT Martin,False,,False,,,
2024,1,Baylor,Tarleton State,False,,False,,,
2024,1,South Florida,Bethune-Cookman,False,,False,,,
2024,1,Arkansas State,Central Arkansas,False,,False,,,
2024,1,Middle Tennessee,Tennessee Tech,False,,False,,,
2024,1,Memphis,North Alabama,False,,False,,,
2024,1,Houston,UNLV,True,0.0,True,1.0,7.912655276312031,-2.6922814429313746
2024,1,Ole Miss,Furman,False,,False,,,
2024,1,Alabama,Western Kentucky,True,1.0,True,0.0,37.41265527631203,-7.692281442931375
2024,1,Hawai'i,UCLA,True,1.0,True,1.0,-4.338947072978501,-1.3237289196930746
2024,1,Auburn,Alabama A&M,False,,False,,,
2024,1,Michigan,Fresno State,True,1.0,True,0.0,27.41265527631203,4.307718557068625
2024,1,Texas A&M,Notre Dame,True,0.0,True,0.0,8.91265527631203,5.807718557068625
2024,1,Oregon,Idaho,False,,False,,,
2024,1,Texas Tech,Abilene Christian,False,,False,,,
2024,1,Kentucky,Southern Miss,True,1.0,True,0.0,31.91265527631203,1.8077185570686254
2024,1,Charlotte,James Madison,True,1.0,True,0.0,-1.087344723687969,1.3077185570686254
2024,1,San Diego State,East Texas A&M,False,,False,,,
2024,1,Georgia Tech,Georgia State,True,1.0,True,1.0,28.37482953735062,-2.884858803207969
2024,1,Louisiana Tech,Nicholls,False,,False,,,
2024,1,SMU,Houston Christian,False,,False,,,
