season,week,date_updated,book,ats_bets,ats_wins,ats_losses,ats_pushes,ats_win_pct,ou_bets,ou_wins,ou_losses,ou_pushes,ou_win_pct
2025,1,2025-10-25 09:04:45,ESPN Bet,90,50,40,0,0.5555555555555556,87,41,46,0,0.4712643678160919
2025,2,2025-10-25 09:04:46,ESPN Bet,82,40,42,0,0.4878048780487805,81,50,31,0,0.6172839506172839
2025,3,2025-10-25 09:04:48,ESPN Bet,65,39,26,0,0.6,63,32,31,0,0.5079365079365079
2025,4,2025-10-25 09:04:49,ESPN Bet,60,28,32,0,0.4666666666666667,58,36,22,0,0.6206896551724138
2025,5,2025-10-25 09:04:51,ESPN Bet,50,28,22,0,0.56,49,22,27,0,0.4489795918367347
2025,6,2025-10-25 09:04:52,ESPN Bet,51,26,25,0,0.5098039215686274,45,26,19,0,0.5777777777777777
2025,7,2025-10-25 09:04:54,ESPN Bet,54,34,20,0,0.6296296296296297,53,21,32,0,0.3962264150943396
2025,8,2025-10-25 10:22:27,ESPN Bet,60,41,19,0,0.6833333333333333,54,25,29,0,0.4629629629629629
2025,9,2025-10-30 20:49:32,ESPN Bet,53,35,18,0,0.660377358490566,49,33,16,0,0.673469387755102
2025,10,2025-11-07 20:14:46,ESPN Bet,52,30,22,0,0.5769230769230769,49,23,26,0,0.4693877551020408
2025,11,2025-11-14 20:16:11,ESPN Bet,51,34,17,0,0.6666666666666666,48,25,23,0,0.5208333333333334
2025,12,2025-11-21 20:16:17,ESPN Bet,59,34,25,0,0.576271186440678,57,30,27,0,0.5263157894736842
2025,13,2025-11-28 20:15:35,ESPN Bet,64,34,30,0,0.53125,58,35,23,0,0.603448275862069
2025,14,2025-12-06 11:10:15,ESPN Bet,66,44,22,0,0.6666666666666666,63,35,28,0,0.5555555555555556
