team,logo_url
Abilene Christian,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Air Force,https://a.espncdn.com/i/teamlogos/ncaa/500/2005.png
Akron,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
Alabama,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Alabama A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Alabama State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Alcorn State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
App State,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png
Arizona,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png
Arizona State,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png
Arkansas,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Arkansas State,https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png
Arkansas-Pine Bluff,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Army,https://a.espncdn.com/i/teamlogos/ncaa/500/349.png
Auburn,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png
Austin Peay,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
BYU,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png
Ball State,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png
Baylor,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png
Bethune-Cookman,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Boise State,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png
Boston College,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png
Bowling Green,https://a.espncdn.com/i/teamlogos/ncaa/500/189.png
Bryant,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Bucknell,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Buffalo,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
Cal Poly,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
California,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png
Campbell,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Central Arkansas,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Central Connecticut,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Central Michigan,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png
Charleston Southern,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Charlotte,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png
Chattanooga,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Cincinnati,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png
Clemson,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png
Coastal Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/324.png
Colgate,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Colorado,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png
Colorado State,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png
Delaware,https://a.espncdn.com/i/teamlogos/ncaa/500/48.png
Delaware State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Duke,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
Duquesne,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
East Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/151.png
East Tennessee State,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
East Texas A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Eastern Illinois,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Eastern Kentucky,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Eastern Michigan,https://a.espncdn.com/i/teamlogos/ncaa/500/2199.png
Eastern Washington,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Elon,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Florida,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png
Florida A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/default-team-logo-500.png
Florida Atlantic,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png
Florida International,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png
